question,answer,faithfulness,answer_relevancy
《中华人民共和国劳动合同法》是什么时候开始施行的？,自2008年1月1日起施行。,1.0,0.9711
这部法律是由哪个机构在什么时候通过的？,由中华人民共和国第十届全国人民代表大会常务委员会第二十八次会议于2007年6月29日通过。,1.0,0.703
《中华人民共和国劳动合同法》的立法目的是什么？,为了完善劳动合同制度，明确劳动合同双方当事人的权利和义务，保护劳动者的合法权益，构建和发展和谐稳定的劳动关系。,1.0,0.9163
哪些单位与劳动者建立劳动关系适用这部法律？,中华人民共和国境内的企业、个体经济组织、民办非企业单位等组织（以下称用人单位）与劳动者建立劳动关系，订立、履行、变更、解除或者终止劳动合同，适用本法。,0.75,0.8029
国家机关、事业单位、社会团体与劳动者订立劳动合同，是否依照《劳动合同法》执行？,依照本法执行。,0.75,0.8356
订立劳动合同应当遵循哪些原则？,应当遵循合法、公平、平等自愿、协商一致、诚实信用的原则。,1.0,0.9026
用人单位在制定直接涉及劳动者切身利益的规章制度时，应当经过什么程序？,应当经职工代表大会或者全体职工讨论，提出方案和意见，与工会或者职工代表平等协商确定。,1.0,0.8826
如果工会或职工认为规章制度不适当，可以怎么做？,有权向用人单位提出，通过协商予以修改完善。,1.0,0.7642
用人单位从什么时候开始与劳动者建立劳动关系？,用人单位自用工之日起即与劳动者建立劳动关系。,1.0,0.8458
用人单位在招用劳动者时，必须如实告知哪些内容？,工作内容、工作条件、工作地点、职业危害、安全生产状况、劳动报酬，以及劳动者要求了解的其他情况。,1.0,0.9329
用人单位在招用劳动者时，不得扣押劳动者的哪些证件？,不得扣押劳动者的居民身份证和其他证件。,1.0,0.9421
已建立劳动关系但未同时订立书面劳动合同的，应当自用工之日起多长时间内订立书面劳动合同？,应当自用工之日起一个月内订立书面劳动合同。,1.0,0.9517
如果用人单位未在用工的同时订立书面劳动合同，且与劳动者约定的劳动报酬不明确，新招用劳动者的劳动报酬应按照什么标准执行？,按照集体合同规定的标准执行；没有集体合同或者集体合同未规定的，实行同工同酬。,1.0,0.9313
劳动合同分为哪几种类型？,劳动合同分为固定期限劳动合同、无固定期限劳动合同和以完成一定工作任务为期限的劳动合同。,1.0,0.9349
什么是固定期限劳动合同？,固定期限劳动合同，是指用人单位与劳动者约定合同终止时间的劳动合同。,1.0,0.8678
在什么情况下，劳动者提出续订或订立劳动合同时，应当订立无固定期限劳动合同？,有下列情形之一，劳动者提出或者同意续订、订立劳动合同的，除劳动者提出订立固定期限劳动合同外，应当订立无固定期限劳动合同：（一）劳动者在该用人单位连续工作满十年的；（二）用人单位初次实行劳动合同制度或者国有企业改制重新订立劳动合同时，劳动者在该用人单位连续工作满十年且距法定退休年龄不足十年的；（三）连续订立二次固定期限劳动合同，且劳动者没有本法第三十九条和第四十条第一项、第二项规定的情形，续订劳动合同的。,0.2,0.8821
用人单位自用工之日起满一年不与劳动者订立书面劳动合同的，会有什么法律后果？,用人单位自用工之日起满一年不与劳动者订立书面劳动合同的，视为用人单位与劳动者已订立无固定期限劳动合同。,1.0,0.8905
以完成一定工作任务为期限的劳动合同是什么？,以完成一定工作任务为期限的劳动合同，是指用人单位与劳动者约定以某项工作的完成为合同期限的劳动合同。,1.0,0.7998
订立以完成一定工作任务为期限的劳动合同需要什么条件？,用人单位与劳动者协商一致，可以订立以完成一定工作任务为期限的劳动合同。,0.75,0.9375
劳动合同在什么情况下生效？,劳动合同由用人单位与劳动者协商一致，并经用人单位与劳动者在劳动合同文本上签字或者盖章生效。,0.5,0.8014
劳动合同文本由谁保存？,劳动合同文本由用人单位和劳动者各执一份。,1.0,0.9397
劳动合同应当具备哪些条款？,劳动合同应当具备以下条款：（一）用人单位的名称、住所和法定代表人或者主要负责人；（二）劳动者的姓名、住址和居民身份证或者其他有效身份证件号码；（三）劳动合同期限；（四）工作内容和工作地点；（五）工作时间和休息休假；（六）劳动报酬；（七）社会保险；（八）劳动保护、劳动条件和职业危害防护；（九）法律、法规规定应当纳入劳动合同的其他事项。,1.0,0.9041
劳动合同期限为两年，试用期最长可以约定多久？,劳动合同期限一年以上不满三年的，试用期不得超过二个月。,1.0,0.9621
如果劳动合同只约定了试用期，没有约定合同期限，法律上怎么认定？,劳动合同仅约定试用期的，试用期不成立，该期限为劳动合同期限。,0.6667,0.8802
同一用人单位与同一劳动者可以约定几次试用期？,同一用人单位与同一劳动者只能约定一次试用期。,1.0,0.9457
劳动者在试用期的工资有什么最低要求？,劳动者在试用期的工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的百分之八十，并不得低于用人单位所在地的最低工资标准。,1.0,0.7904
在试用期内，用人单位在什么情况下可以解除劳动合同？,在试用期中，除劳动者有本法第三十九条和第四十条第一项、第二项规定的情形外，用人单位不得解除劳动合同。用人单位在试用期解除劳动合同的，应当向劳动者说明理由。,0.9231,0.9542
劳动者违反服务期约定，需要支付多少违约金？,劳动者违反服务期约定的，应当按照约定向用人单位支付违约金。违约金的数额不得超过用人单位提供的培训费用。用人单位要求劳动者支付的违约金不得超过服务期尚未履行部分所应分摊的培训费用。,1.0,0.8337
用人单位与劳动者约定服务期后，是否影响劳动者在服务期期间的工资调整？,用人单位与劳动者约定服务期的，不影响按照正常的工资调整机制提高劳动者在服务期期间的劳动报酬。,1.0,0.9002
对于负有保密义务的劳动者，用人单位可以约定什么条款？,对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。,1.0,0.5999
竞业限制的人员具体包括哪些人？,竞业限制的人员限于用人单位的高级管理人员、高级技术人员和其他负有保密义务的人员。,1.0,0.8612
竞业限制的期限最长不得超过多久？,在解除或者终止劳动合同后，竞业限制期限不得超过二年。,1.0,0.8291
在哪些情况下，用人单位可以与劳动者约定由劳动者承担违约金？,除本法第二十二条和第二十三条规定的情形外，用人单位不得与劳动者约定由劳动者承担违约金。,1.0,1.0
哪些情形下劳动合同无效或者部分无效？,下列劳动合同无效或者部分无效：（一）以欺诈、胁迫的手段或者乘人之危，使对方在违背真实意思的情况下订立或者变更劳动合同的；（二）用人单位免除自己的法定责任、排除劳动者权利的；（三）违反法律、行政法规强制性规定的。,1.0,0.9124
劳动合同部分无效，其他部分还有效吗？,劳动合同部分无效，不影响其他部分效力的，其他部分仍然有效。,1.0,0.8919
劳动合同被确认无效，但劳动者已经付出了劳动，用人单位需要支付报酬吗？报酬数额怎么确定？,用人单位应当向劳动者支付劳动报酬。劳动报酬的数额，参照本单位相同或者相近岗位劳动者的劳动报酬确定。,1.0,0.8942
用人单位拖欠或者未足额支付劳动报酬，劳动者可以采取什么法律措施？,劳动者可以依法向当地人民法院申请支付令，人民法院应当依法发出支付令。,1.0,0.9641
用人单位安排加班，需要支付加班费吗？,用人单位安排加班的，应当按照国家有关规定向劳动者支付加班费。,1.0,0.8759
劳动者拒绝用人单位管理人员违章指挥、强令冒险作业，会被视为违反劳动合同吗？,不视为违反劳动合同。,1.0,0.9442
公司变更名称后，之前签的劳动合同还有效吗？,有效。根据第三十三条，用人单位变更名称、法定代表人、主要负责人或者投资人等事项，不影响劳动合同的履行。,1.0,0.9649
公司被合并了，我的劳动合同应该由谁继续履行？,根据第三十四条，用人单位发生合并或者分立等情况，原劳动合同继续有效，劳动合同由承继其权利和义务的用人单位继续履行。,1.0,0.8962
我和公司想变更劳动合同里的内容，需要什么手续？,根据第三十五条，用人单位与劳动者协商一致，可以变更劳动合同约定的内容，且应当采用书面形式。变更后的劳动合同文本由用人单位和劳动者各执一份。,0.6,0.8578
我还在试用期，想辞职需要提前几天通知公司？,根据第三十七条，劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。,1.0,0.8572
公司没有给我缴纳社保，我可以直接解除劳动合同吗？,可以。根据第三十八条，用人单位未依法为劳动者缴纳社会保险费的，劳动者可以解除劳动合同。,0.8333,0.8306
如果用人单位以暴力、威胁或者非法限制人身自由的手段强迫我劳动，我可以直接解除劳动合同吗？需要提前告知用人单位吗？,可以立即解除劳动合同，不需事先告知用人单位。,0.5,0.9179
在试用期内，用人单位在什么情况下可以解除劳动合同？,在试用期间被证明不符合录用条件的，用人单位可以解除劳动合同。,0.9231,0.9639
劳动者同时与其他用人单位建立劳动关系，什么情况下用人单位可以解除劳动合同？,对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的，用人单位可以解除劳动合同。,1.0,0.919
劳动者患病或非因工负伤，在医疗期满后不能从事原工作，也不能从事另行安排的工作，用人单位解除劳动合同需要提前多久通知？,用人单位提前三十日以书面形式通知劳动者本人或者额外支付劳动者一个月工资后，可以解除劳动合同。,1.0,0.6263
员工不能胜任工作，经过培训或调岗后仍不能胜任，公司可以解除劳动合同吗？,可以。根据《劳动合同法》第四十条第二项，劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的，用人单位可以解除劳动合同。,1.0,0.8651
公司需要裁减人员时，什么情况下必须提前三十日向工会或全体职工说明情况？,根据第四十一条，需要裁减人员二十人以上，或者裁减不足二十人但占企业职工总数百分之十以上的，用人单位提前三十日向工会或者全体职工说明情况，听取意见后，裁减人员方案经向劳动行政部门报告，可以裁减人员。,1.0,0.8865
公司因生产经营发生严重困难需要裁员，裁减人员时应当优先留用哪些人员？,根据第四十一条，裁减人员时应当优先留用下列人员：（一）与本单位订立较长期限的固定期限劳动合同的；（二）与本单位订立无固定期限劳动合同的；（三）家庭无其他就业人员，有需要扶养的老人或者未成年人的。,1.0,0.9419
公司裁员后六个月内重新招用人员，对被裁减的人员有什么义务？,根据第四十一条，用人单位依照本条第一款规定裁减人员，在六个月内重新招用人员的，应当通知被裁减的人员，并在同等条件下优先招用被裁减的人员。,1.0,0.8691
哪些情况下用人单位不能依据第四十条、第四十一条解除劳动合同？,根据第四十二条，劳动者有下列情形之一的，用人单位不得依照第四十条、第四十一条的规定解除劳动合同：（一）从事接触职业病危害作业的劳动者未进行离岗前职业健康检查，或者疑似职业病病人在诊断或者医学观察期间的；（二）在本单位患职业病或者因工负伤并被确认丧失或者部分丧失劳动能力的；（三）患病或者非因工负伤，在规定的医疗期内的；（四）女职工在孕期、产期、哺乳期的；（五）在本单位连续工作满十五年，且距法定退休年龄不足五年的；（六）法律、行政法规规定的其他情形。,1.0,0.8925
用人单位单方解除劳动合同前，需要履行什么程序？,根据第四十三条，用人单位单方解除劳动合同，应当事先将理由通知工会。如果用人单位违反法律、行政法规规定或者劳动合同约定，工会有权要求用人单位纠正。用人单位应当研究工会的意见，并将处理结果书面通知工会。,0.8571,0.953
劳动合同在哪些情况下会终止？,根据第四十四条，有下列情形之一的，劳动合同终止：（一）劳动合同期满的；（二）劳动者开始依法享受基本养老保险待遇的；（三）劳动者死亡，或者被人民法院宣告死亡或者宣告失踪的；（四）用人单位被依法宣告破产的；（五）用人单位被吊销营业执照、责令关闭、撤销或者用人单位决定提前解散的；（六）法律、行政法规规定的其他情形。,1.0,0.916
女职工在什么期间，用人单位不得解除劳动合同？,根据第四十二条第四项，女职工在孕期、产期、哺乳期的，用人单位不得依照第四十条、第四十一条的规定解除劳动合同。,1.0,0.8102
劳动合同期满时，如果劳动者有本法第四十二条规定的情形，劳动合同应该如何处理？,劳动合同应当续延至相应的情形消失时终止。但是，本法第四十二条第二项规定丧失或者部分丧失劳动能力劳动者的劳动合同的终止，按照国家有关工伤保险的规定执行。,1.0,0.7888
